pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
3821	135	24	7	37.375000	496.958333	587.333333	8.855978	10.349037
3822	291	20	10	62.250000	211.900000	374.550000	10.712746	17.697410
3823	528	25	8	90.400000	522.120000	207.480000	7.457971	11.875056
3824	701	20	9	104.650000	124.100000	353.050000	7.146869	9.118973
3825	1020	26	14	125.961538	340.692308	553.730769	8.488554	12.486286
3826	1183	20	7	133.550000	478.700000	733.750000	10.458372	11.876219
3827	1733	21	4	160.809524	549.666667	257.714286	50.621122	52.203645
3828	1775	26	13	162.769231	254.230769	359.500000	12.059638	12.442198
3829	1882	22	13	169.272727	263.272727	379.909091	15.457092	17.301947
3830	2094	21	2	179.523810	348.523810	41.047619	7.444255	11.462558
3831	2151	21	2	182.428571	301.238095	71.571429	35.321991	47.696243
3832	2401	24	3	194.375000	657.750000	596.041667	7.578787	8.780851
3833	2437	22	9	196.636364	120.772727	483.909091	11.135516	14.107936
3834	2610	24	4	204.916667	695.166667	392.708333	5.610513	7.524214
3835	2791	20	10	214.450000	249.550000	229.950000	14.485471	17.147396
3836	3023	22	12	226.318182	453.045455	286.818182	4.990099	7.638578
3837	3044	24	10	228.916667	208.375000	396.333333	30.497176	33.339849
3838	3369	21	3	247.857143	566.285714	652.952381	35.750650	38.031724
3839	3457	20	12	253.900000	436.200000	320.500000	8.488167	8.942888
3840	3484	22	2	255.954545	290.727273	79.818182	35.990951	39.972775
3841	3494	21	3	255.761905	664.619048	485.095238	14.187996	17.299000
3842	3552	20	17	260.000000	439.400000	370.000000	9.340346	13.361754
3843	4008	21	11	311.285714	330.428571	323.428571	19.623865	19.623865
3844	4084	24	7	318.666667	392.041667	620.333333	10.384098	14.678357
3845	4440	24	2	356.541667	363.750000	138.041667	8.071556	11.288518
