pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
3954	6	23	7	22.130435	558.347826	615.130435	32.400346	40.452503
3955	40	44	7	30.295455	581.795455	627.977273	26.833248	30.109561
3956	76	24	4	36.041667	491.916667	313.458333	17.080954	19.184775
3957	113	36	2	41.944444	420.388889	479.305556	18.097789	29.265315
3958	116	38	2	41.500000	450.394737	479.315789	13.848805	43.152028
3959	119	24	6	40.458333	654.958333	588.541667	27.957694	30.592896
3960	161	45	2	46.488889	481.977778	487.555556	45.154136	61.862563
3961	165	32	2	47.468750	378.937500	466.281250	9.193405	15.488233
3962	173	24	2	48.625000	378.375000	506.375000	18.241946	23.799718
3963	177	30	2	48.666667	417.733333	430.666667	14.040249	17.607694
3964	182	25	3	50.040000	396.720000	364.000000	46.994576	48.504156
3965	210	35	2	53.771429	383.514286	463.514286	11.416004	18.093034
3966	240	45	2	56.955556	352.844444	604.688889	15.515661	21.099610
3967	252	31	2	58.774194	338.774194	462.903226	21.771203	23.505857
3968	271	34	3	60.735294	345.705882	400.323529	12.490152	17.351084
3969	273	21	3	59.761905	366.666667	411.809524	18.152223	25.533800
3970	300	41	2	63.073171	347.243902	605.121951	15.889481	20.830574
3971	302	32	3	64.187500	388.562500	345.093750	43.708154	44.796378
3972	312	50	3	65.440000	333.160000	398.480000	16.678646	18.133746
3973	345	24	2	67.708333	270.458333	475.916667	10.918793	14.926150
3974	361	45	2	70.933333	385.444444	425.377778	13.106374	19.039771
3975	375	31	7	69.870968	534.806452	589.645161	27.260838	43.596255
3976	384	29	3	71.206897	310.758621	395.206897	15.366777	15.924905
3977	393	36	10	72.055556	535.416667	327.333333	41.899879	50.518372
3978	405	37	5	72.135135	476.648649	553.837838	24.859367	36.624091
3979	425	31	10	74.096774	538.774194	464.290323	53.627574	63.096826
3980	479	49	13	78.183673	558.040816	525.265306	61.883718	66.904143
3981	490	44	2	78.477273	356.022727	603.000000	23.986620	27.792253
3982	499	28	6	79.000000	662.071429	553.428571	27.015063	30.300772
3983	547	44	6	84.272727	646.409091	600.000000	11.361130	14.198769
3984	558	48	2	85.666667	264.416667	476.166667	9.137916	11.453322
3985	570	23	5	86.086957	396.173913	610.826087	14.982100	16.026870
3986	609	29	7	87.965517	618.655172	641.172414	21.900577	25.281020
3987	688	27	7	96.259259	522.962963	590.185185	44.851624	54.633920
3988	700	33	9	96.606061	649.000000	510.242424	21.073686	24.420587
3989	715	21	6	97.619048	658.380952	618.714286	9.581925	9.918781
3990	739	29	13	99.931034	483.896552	536.068966	52.842727	55.887965
3991	749	33	5	101.151515	365.000000	668.818182	10.249911	13.527454
3992	773	27	8	101.962963	416.814815	321.925926	32.371023	37.248382
3993	785	38	5	104.000000	419.789474	556.236842	23.372541	29.648833
3994	791	44	7	104.409091	632.113636	655.090909	19.530648	27.661198
3995	794	20	3	104.300000	240.650000	369.150000	9.614630	11.075057
3996	819	41	5	106.073171	487.658537	691.463415	21.879312	23.079687
3997	853	29	3	109.206897	238.034483	352.241379	9.391198	11.880428
3998	856	31	2	108.741935	305.258065	454.419355	31.083180	37.545832
3999	945	37	2	115.324324	219.945946	494.675676	11.112092	11.804158
4000	975	22	10	116.045455	544.772727	333.681818	16.786133	19.385845
4001	992	22	5	117.227273	431.909091	756.136364	7.773982	11.115047
4002	993	35	8	118.428571	447.228571	338.171429	23.205872	26.839686
4003	1012	37	3	118.675676	381.675676	312.891892	6.756486	22.773180
4004	1056	26	12	120.461538	445.538462	537.000000	45.068242	47.309142
4005	1058	23	8	123.826087	449.000000	336.565217	22.249950	26.315466
4006	1067	25	11	122.280000	323.880000	446.400000	40.183441	45.898958
4007	1072	40	5	122.600000	507.650000	760.000000	19.031422	21.113415
4008	1092	40	12	124.600000	508.350000	628.375000	25.139791	25.139791
4009	1146	25	3	127.560000	224.160000	440.440000	13.387695	16.727280
4010	1154	44	4	126.340909	462.022727	115.181818	14.086119	16.506809
4011	1155	46	8	127.108696	464.586957	363.717391	14.609180	14.802418
4012	1182	32	5	127.875000	377.375000	571.750000	43.425312	45.765349
4013	1185	46	7	128.391304	522.413043	755.804348	23.030262	23.615417
4014	1196	26	11	129.153846	433.500000	495.461538	12.466388	16.496695
4015	1199	38	8	128.842105	448.684211	397.473684	12.964068	14.930558
4016	1201	40	13	130.225000	586.750000	537.625000	19.129823	24.393197
4017	1242	24	2	133.541667	232.541667	461.541667	11.641432	14.698305
4018	1248	29	4	132.206897	540.586207	174.103448	33.866655	36.699068
4019	1250	21	7	132.904762	584.666667	744.380952	11.944353	12.999049
4020	1264	34	8	133.147059	412.000000	322.735294	12.104947	21.264556
4021	1268	35	7	133.085714	521.885714	752.600000	18.711600	20.164946
4022	1285	21	12	134.523810	508.428571	625.571429	15.921637	15.921637
4023	1325	21	8	136.142857	523.571429	351.904762	12.269968	14.874227
4024	1342	32	8	136.968750	390.750000	309.406250	26.928415	28.619138
4025	1370	44	6	137.977273	714.022727	681.954545	15.296982	16.027794
4026	1399	28	8	140.750000	433.714286	336.321429	12.383751	16.064363
4027	1420	43	8	140.976744	525.534884	343.744186	15.220411	18.035235
4028	1460	34	9	144.352941	773.264706	499.411765	13.033262	18.668999
4029	1467	27	11	143.185185	336.037037	440.888889	29.588251	32.651135
4030	1485	37	7	145.567568	527.000000	759.675676	13.243517	15.124307
4031	1487	46	10	145.217391	577.065217	316.369565	11.848918	13.626296
4032	1507	26	5	146.423077	383.807692	576.384615	32.698776	57.035101
4033	1542	20	7	148.500000	542.300000	753.950000	7.067295	12.571730
4034	1543	34	4	149.352941	556.617647	201.382353	17.403550	50.435927
4035	1555	22	8	149.909091	378.500000	298.363636	20.902869	25.135402
4036	1562	48	10	150.666667	675.937500	342.645833	14.068062	19.478054
4037	1603	23	2	153.739130	217.347826	472.086957	18.105807	21.004264
4038	1611	47	10	153.659574	601.446809	291.234043	12.406517	14.607407
4039	1647	20	2	155.300000	331.750000	702.450000	6.610302	10.697986
4040	1657	30	9	155.233333	785.666667	406.133333	9.724839	12.545224
4041	1668	44	6	156.772727	727.136364	685.500000	10.641350	15.731455
4042	1688	20	11	157.500000	282.550000	441.800000	14.965124	21.321243
4043	1693	39	6	159.205128	709.769231	688.333333	16.101847	17.693641
4044	1706	22	11	158.000000	322.772727	434.090909	15.578569	20.356053
4045	1707	48	11	160.187500	349.312500	428.812500	12.545935	24.194815
4046	1727	41	6	160.097561	696.804878	675.146341	9.176379	12.647751
4047	1733	30	2	161.866667	215.533333	491.433333	18.020190	21.084292
4048	1734	26	11	161.461538	330.538462	438.461538	18.204902	19.179314
4049	1772	29	2	163.034483	334.689655	721.724138	13.547068	13.957666
4050	1791	45	13	164.644444	556.022222	576.511111	9.648181	13.965289
4051	1819	46	2	166.000000	255.717391	694.782609	8.603883	9.847585
4052	1820	48	4	166.812500	270.375000	174.395833	7.269471	9.180720
4053	1825	22	12	165.818182	417.318182	536.227273	13.609607	18.109968
4054	1856	49	10	168.877551	611.979592	286.612245	11.165457	12.535971
4055	1859	49	7	168.632653	714.469388	698.020408	12.699802	15.834774
4056	1894	22	11	171.272727	361.363636	434.545455	15.365145	23.858890
4057	1933	22	4	172.636364	558.954545	195.227273	41.545987	46.971300
4058	1936	22	10	173.590909	609.454545	284.590909	10.741061	12.877183
4059	2011	38	5	177.184211	342.000000	742.921053	8.953712	13.303706
4060	2023	41	11	178.219512	351.365854	434.560976	9.443529	17.916098
4061	2024	41	8	178.317073	410.146341	311.341463	14.237936	19.260256
4062	2034	28	11	178.750000	311.964286	439.464286	7.643902	11.476018
4063	2050	23	3	180.260870	205.217391	286.434783	8.706248	10.986716
4064	2088	31	10	182.741935	664.709677	299.612903	11.603048	15.578900
4065	2115	31	11	184.774194	421.032258	420.580645	15.866210	20.366171
4066	2119	29	5	184.344828	511.517241	802.103448	11.377803	13.982976
4067	2159	50	11	189.960000	380.820000	429.180000	16.802182	16.917136
4068	2161	38	4	188.026316	483.921053	96.684211	36.807061	44.619607
4069	2175	49	11	188.224490	254.877551	455.938776	8.009264	25.621256
4070	2183	46	8	188.369565	430.086957	320.478261	11.721624	15.960650
4071	2205	26	3	189.653846	226.269231	256.423077	16.203422	18.527621
4072	2225	44	11	189.977273	237.954545	459.000000	23.179556	34.072094
4073	2228	48	11	190.416667	262.208333	447.291667	8.962200	21.868835
4074	2266	48	2	193.270833	175.937500	521.854167	12.678481	17.548851
4075	2270	29	8	192.758621	426.137931	335.137931	10.284848	11.043982
4076	2286	36	10	194.027778	588.944444	290.444444	11.482396	12.016326
4077	2292	23	11	194.826087	286.304348	447.826087	16.767291	23.189778
4078	2293	20	4	195.100000	306.550000	116.050000	8.638893	16.151165
4079	2294	23	8	194.478261	328.391304	264.739130	17.445925	18.932458
4080	2336	25	6	196.880000	747.360000	696.800000	8.395384	9.046106
4081	2344	28	2	198.000000	344.464286	690.321429	45.195527	45.496703
4082	2351	35	13	198.257143	558.400000	437.171429	16.474497	20.820494
4083	2355	37	9	197.972973	766.864865	348.432432	10.933225	12.552076
4084	2378	31	11	200.419355	241.612903	457.096774	25.005544	30.310813
4085	2384	28	12	201.071429	500.321429	691.107143	41.310744	51.397780
4086	2387	29	13	200.206897	615.275862	627.206897	13.597071	16.464603
4087	2397	31	4	200.741935	503.032258	104.322581	37.923829	46.565393
4088	2412	44	5	202.227273	452.500000	804.909091	5.538694	8.034868
4089	2428	27	8	203.703704	427.444444	316.518519	13.347277	15.847279
4090	2429	20	5	202.850000	449.250000	803.750000	5.410865	8.664024
4091	2477	40	8	206.625000	404.825000	418.150000	20.811005	24.561008
4092	2483	36	6	206.638889	734.361111	688.833333	7.507347	10.244228
4093	2549	22	3	210.818182	165.818182	531.045455	16.636095	17.099483
4094	2583	49	10	213.387755	514.734694	309.632653	18.604020	21.285745
4095	2584	28	5	213.071429	537.678571	794.821429	9.872997	13.930627
4096	2595	35	2	214.314286	221.542857	471.400000	34.852190	40.255979
4097	2600	41	12	214.000000	355.146341	628.048780	6.873281	14.924859
4098	2635	23	8	216.956522	323.869565	262.478261	15.371614	18.418120
4099	2654	33	10	218.212121	515.969697	316.545455	20.173573	23.085536
4100	2666	39	12	218.384615	364.794872	601.641026	22.766377	26.371198
4101	2672	35	13	218.057143	599.057143	430.571429	29.931020	32.109348
4102	2676	23	3	219.391304	136.000000	470.086957	13.435045	13.605694
4103	2677	36	2	218.805556	226.472222	477.111111	29.498604	35.073812
4104	2701	48	6	220.229167	748.062500	696.041667	6.009512	9.191059
4105	2713	21	12	220.857143	500.952381	692.571429	21.614028	51.596651
4106	2722	20	2	221.900000	198.550000	497.300000	42.088978	48.500294
4107	2726	50	8	222.760000	404.420000	302.080000	13.288325	14.881374
