pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
5727	36	25	3	15.600000	195.520000	407.200000	6.064880	8.820554
5728	55	26	3	18.230769	199.730769	448.384615	8.289565	9.233595
5729	57	28	3	18.178571	213.464286	389.750000	8.424272	10.258963
5730	313	21	3	42.809524	251.142857	518.619048	11.148292	12.665443
5731	355	23	3	47.956522	296.434783	477.304348	8.491977	12.742958
5732	435	25	5	52.760000	403.360000	506.640000	6.227541	7.949099
5733	521	26	2	59.538462	262.884615	317.384615	15.373547	17.032093
5734	569	21	2	64.619048	140.000000	269.523810	5.836075	6.671833
5735	684	26	3	72.384615	238.500000	529.230769	15.345469	17.354781
5736	689	21	5	71.857143	388.619048	583.714286	10.297722	12.042711
5737	704	22	3	74.818182	107.954545	389.863636	7.295806	9.400601
5738	739	21	2	77.523810	109.000000	361.190476	14.683797	19.121463
5739	751	28	5	77.857143	383.107143	584.678571	7.415662	8.732930
5740	772	27	3	79.333333	110.074074	372.259259	12.793179	13.178323
5741	791	24	3	80.791667	212.375000	539.708333	6.462196	7.906370
5742	868	27	3	87.000000	100.518519	377.666667	4.753255	7.999415
5743	900	28	2	90.928571	155.142857	213.214286	6.535312	8.407789
5744	951	24	2	93.333333	300.083333	307.500000	8.407038	11.451163
5745	1003	20	2	99.600000	134.950000	373.000000	10.449112	12.468175
5746	1005	24	5	99.916667	205.625000	564.375000	10.716030	11.566800
5747	1012	22	3	99.000000	93.909091	411.090909	2.766275	7.602476
5748	1071	21	2	105.619048	336.142857	308.857143	13.518857	15.027571
5749	1133	20	3	111.200000	378.950000	341.750000	5.637449	12.032512
5750	1230	23	2	120.695652	70.217391	268.782609	6.767988	7.946558
5751	1253	26	5	122.653846	455.884615	480.192308	13.299632	15.181163
5752	1266	25	5	123.840000	457.240000	446.760000	10.468133	12.810522
5753	1450	21	4	148.380952	269.761905	200.809524	7.813377	8.585866
5754	1473	27	2	150.592593	75.444444	392.814815	10.414279	12.461976
5755	1493	20	4	152.300000	142.350000	161.350000	6.243352	13.185606
5756	1579	28	3	162.500000	201.464286	564.428571	11.590238	15.444115
5757	1780	23	4	178.608696	358.695652	243.869565	12.518244	14.512034
5758	1894	21	13	187.714286	305.428571	324.285714	9.971547	11.358866
5759	2007	25	2	194.840000	103.320000	422.800000	7.945098	9.958239
5760	2081	22	13	200.045455	306.863636	297.727273	8.065439	8.738582
5761	2145	28	13	205.285714	334.750000	349.285714	10.203974	12.537743
5762	2247	27	13	211.148148	332.666667	301.851852	9.113345	11.739307
5763	2450	21	12	227.142857	237.285714	418.857143	11.493267	14.286545
5764	2507	22	10	232.227273	400.181818	494.363636	4.894293	8.683837
5765	2716	28	10	243.214286	497.857143	419.321429	7.065748	8.748314
5766	2737	24	3	244.625000	197.291667	562.041667	8.966435	12.234955
5767	2892	24	6	254.583333	267.333333	70.333333	6.738808	12.837770
5768	2927	26	6	255.961538	285.846154	73.923077	8.145580	12.446505
5769	3152	25	12	268.520000	261.120000	445.280000	10.035153	13.733401
5770	3218	21	13	272.809524	239.952381	385.142857	9.443404	9.899486
5771	3308	26	14	278.461538	302.500000	204.923077	9.285061	13.233574
