pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
5083	4	45	2	74.022222	414.022222	565.511111	9.650055	26.704567
5084	7	29	17	74.517241	511.620690	434.068966	54.444486	56.353360
5085	23	20	4	81.650000	650.850000	403.450000	11.655391	30.126525
5086	54	65	9	93.353846	341.184615	405.384615	51.036895	77.277743
5087	66	33	4	96.939394	596.636364	403.606061	59.410448	61.619013
5088	90	21	11	101.095238	583.904762	601.000000	49.097159	63.502290
5089	125	34	4	106.882353	650.882353	406.411765	15.739241	23.352921
5090	134	26	2	108.576923	396.538462	597.346154	19.161521	24.882990
5091	175	43	3	116.767442	337.906977	680.767442	14.002660	26.535924
5092	195	21	9	120.333333	287.238095	400.857143	26.151370	56.140232
5093	220	20	3	123.750000	276.150000	541.500000	65.779213	66.509194
5094	225	24	6	122.500000	473.500000	245.500000	44.368418	49.740159
5095	227	20	6	122.600000	555.550000	341.750000	47.230770	49.918196
5096	232	36	3	124.722222	328.277778	546.111111	73.724790	77.211461
5097	240	61	2	127.704918	340.180328	812.983607	8.474712	9.917150
5098	243	51	7	126.333333	374.647059	304.666667	48.951472	56.636610
5099	250	24	3	125.833333	310.250000	548.583333	63.038972	71.398698
5100	259	50	2	127.080000	338.320000	745.280000	14.529462	19.720013
5101	264	25	9	128.720000	271.200000	397.080000	25.172201	49.949637
5102	273	61	3	129.688525	289.557377	598.065574	16.023639	27.866429
5103	318	32	3	134.906250	278.000000	734.218750	15.987368	24.665302
5104	330	49	8	136.306122	631.122449	489.061224	44.664260	57.366096
5105	374	27	7	141.925926	356.481481	300.962963	41.973660	52.137950
5106	409	56	8	145.446429	678.053571	488.017857	23.870018	28.701013
5107	430	29	5	147.896552	217.862069	427.896552	42.954427	76.081779
5108	441	36	5	149.250000	221.166667	558.388889	32.767045	36.963312
5109	455	25	7	149.640000	344.480000	297.680000	39.618124	47.026850
5110	492	46	4	153.326087	635.739130	284.152174	19.357613	25.861557
5111	510	27	7	154.851852	339.666667	287.000000	27.346019	36.636493
5112	527	42	4	155.857143	622.166667	341.666667	12.856330	18.542893
5113	577	45	6	161.355556	504.177778	212.311111	18.744947	23.189162
5114	607	59	13	164.203390	423.457627	549.118644	33.727651	35.377488
