pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
5309	244	22	4	36.136364	239.227273	615.272727	10.855921	11.237010
5310	247	21	4	36.952381	323.523810	598.190476	11.404979	15.588399
5311	328	23	4	42.913043	230.478261	484.391304	14.286626	18.059140
5312	344	23	6	44.826087	371.956522	244.782609	10.530307	11.849686
5313	588	26	3	59.230769	251.153846	396.500000	15.877384	22.482840
5314	589	22	3	59.000000	261.954545	392.772727	26.995267	29.089265
5315	629	20	3	61.350000	251.550000	409.000000	16.302921	23.405940
5316	746	20	2	71.250000	240.950000	302.350000	5.396822	20.884111
5317	865	25	5	80.000000	286.880000	177.760000	15.426789	18.613229
5318	908	25	6	82.120000	456.560000	144.440000	7.447641	10.554485
5319	972	21	2	86.238095	236.095238	253.761905	6.266606	10.247123
5320	1077	25	2	92.880000	284.720000	149.200000	12.291259	14.497630
5321	1212	24	4	102.291667	334.666667	691.208333	8.532452	10.501574
5322	1284	20	3	107.050000	123.100000	439.200000	10.688217	13.855396
5323	1298	26	5	107.500000	384.153846	78.230769	7.881970	9.734152
5324	1379	26	12	112.115385	263.769231	461.346154	10.960419	13.849641
5325	1605	26	3	124.076923	112.884615	449.000000	16.701577	20.222892
5326	1728	21	2	129.000000	270.666667	111.571429	13.283942	17.283156
5327	1761	24	2	133.375000	126.208333	284.333333	6.787425	11.560424
5328	1867	22	18	137.136364	370.727273	417.590909	11.029224	13.149495
5329	1876	24	2	137.625000	183.875000	184.250000	9.936154	11.023486
5330	1929	26	16	139.423077	374.692308	349.923077	10.952187	15.946604
5331	1947	20	18	140.950000	362.950000	416.000000	6.899401	10.488268
5332	1960	21	2	141.571429	193.428571	163.380952	7.803135	9.231561
5333	2152	26	16	151.576923	314.923077	357.500000	8.813209	12.457561
5334	2345	22	2	160.590909	298.136364	80.454545	16.414999	19.361949
5335	2444	26	2	166.769231	144.846154	316.576923	40.038428	43.926109
5336	2801	20	2	186.950000	118.550000	302.850000	41.222347	43.038596
5337	2861	22	7	189.636364	77.409091	441.681818	7.061527	11.965677
5338	2920	25	12	192.480000	270.320000	567.760000	24.980203	30.836760
5339	3146	21	10	202.428571	547.095238	350.095238	10.525794	14.028852
5340	3486	26	7	221.000000	62.307692	441.423077	7.097195	11.000437
5341	3535	25	5	223.960000	363.760000	65.760000	5.329421	12.018474
5342	3588	26	16	226.923077	332.692308	310.461538	19.440081	23.462300
5343	3721	25	4	233.480000	358.960000	712.600000	7.553941	11.880104
5344	3823	23	15	238.869565	411.260870	247.521739	7.778015	9.100526
5345	3912	24	9	243.666667	497.541667	437.750000	21.054057	22.914170
5346	4074	22	16	253.500000	360.090909	314.727273	7.403316	14.987369
5347	4094	24	15	253.875000	422.708333	260.458333	15.174196	20.183536
5348	4105	26	4	254.423077	238.269231	705.346154	7.806559	9.868247
5349	4174	25	7	258.600000	58.320000	446.120000	12.386138	14.365658
5350	4183	21	16	259.333333	368.761905	320.333333	18.038380	18.426810
5351	4368	26	4	270.884615	294.615385	709.846154	11.369716	14.387173
5352	4547	20	6	280.550000	495.150000	218.950000	9.936146	12.884470
5353	4652	23	4	287.434783	324.913043	698.217391	10.539445	12.340056
5354	5034	26	3	315.653846	58.384615	505.000000	9.943242	12.121582
5355	5210	20	3	330.050000	247.700000	609.950000	9.716619	13.029908
5356	5239	22	3	333.045455	72.681818	446.045455	7.124331	10.289653
5357	5282	24	5	336.708333	421.458333	245.208333	13.227968	15.595338
5358	5309	21	5	337.952381	424.714286	244.476190	13.985173	15.866695
5359	5339	20	3	340.800000	398.650000	415.600000	11.575329	25.179746
5360	5413	20	3	346.150000	252.150000	599.700000	9.166132	9.816744
5361	5502	22	3	350.500000	130.272727	479.727273	16.103661	17.559005
5362	5620	22	3	359.227273	361.272727	364.090909	14.203851	20.094994
5363	5677	20	3	363.750000	130.300000	472.850000	14.024773	15.543872
5364	5698	20	7	366.900000	55.950000	341.900000	8.195994	10.014393
5365	5715	21	2	366.523810	111.523810	286.380952	17.351227	21.633036
5366	5742	25	3	369.040000	132.920000	470.320000	14.422604	15.620762
5367	5817	22	2	372.363636	352.227273	263.363636	10.891343	13.110698
5368	5848	23	3	375.347826	179.521739	480.391304	9.368657	14.404659
5369	5890	23	2	379.521739	327.913043	294.521739	10.250768	15.849829
5370	6103	22	3	395.545455	248.136364	489.590909	17.032721	19.363567
5371	6122	20	3	400.000000	174.000000	470.500000	9.993039	13.944437
5372	6124	23	3	401.608696	238.304348	503.826087	11.466336	13.357496
5373	6250	22	2	412.227273	252.727273	336.772727	11.835110	13.758394
