pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
1881	28	24	3	26.833333	413.416667	244.833333	26.816135	32.809138
1882	58	24	2	35.541667	347.000000	265.541667	11.332789	23.665028
1883	70	28	3	36.321429	467.571429	182.285714	12.556587	15.626664
1884	177	23	4	57.913043	325.565217	396.173913	9.164176	14.054425
1885	187	21	6	60.095238	162.761905	305.190476	33.649320	35.217611
1886	228	22	5	65.636364	157.000000	314.500000	31.792723	34.366606
1887	239	20	4	66.700000	333.200000	407.000000	10.073703	13.309842
1888	248	26	5	68.115385	221.000000	374.423077	11.249252	20.993582
1889	283	27	4	72.592593	350.666667	412.037037	14.704344	20.952686
1890	297	24	4	74.333333	350.416667	416.458333	11.710081	21.427548
1891	368	25	7	81.880000	152.120000	178.720000	14.878249	19.412403
1892	373	24	2	81.958333	472.333333	322.125000	9.267741	9.649521
1893	392	23	4	85.869565	246.565217	350.565217	35.638953	42.708845
1894	477	28	5	94.535714	123.571429	333.428571	18.632805	20.226635
1895	491	25	5	94.440000	130.680000	331.000000	11.525959	20.068902
1896	574	27	4	103.259259	224.444444	401.814815	16.007640	23.773268
1897	580	23	7	103.521739	91.434783	184.521739	28.660889	29.978004
1898	748	23	11	119.173913	200.391304	206.826087	12.966345	16.713229
1899	777	23	11	121.043478	290.260870	236.826087	10.154861	21.235329
1900	867	24	11	129.541667	203.458333	188.625000	6.865783	11.950297
1901	988	22	13	141.909091	178.681818	316.045455	32.548173	36.679493
1902	1024	24	10	145.625000	418.625000	232.000000	8.664669	12.193140
1903	1106	27	13	154.666667	174.925926	320.407407	19.085231	32.507818
1904	1463	23	9	190.086957	386.695652	131.434783	5.990816	11.473805
1905	1515	28	10	195.321429	413.250000	226.821429	9.146438	12.078911
1906	1534	27	12	196.333333	361.962963	317.592593	15.425786	15.798415
1907	1539	24	3	198.625000	549.083333	174.958333	14.204937	17.610067
1908	1629	20	6	205.350000	54.900000	222.850000	10.793006	11.223099
1909	1671	25	11	209.280000	187.160000	248.040000	13.719134	17.227776
1910	1851	20	7	222.250000	203.600000	91.000000	27.387447	29.877584
1911	1854	23	4	223.043478	233.521739	394.869565	18.209303	25.274977
1912	1917	20	5	227.400000	116.800000	336.750000	19.742784	23.605151
1913	1937	22	11	230.590909	295.136364	201.818182	17.312302	30.586573
1914	2061	20	7	242.350000	220.150000	137.900000	39.365638	43.234914
1915	2188	27	11	258.962963	151.777778	215.814815	23.348128	28.224067
1916	2226	23	6	264.652174	142.000000	211.652174	29.694580	31.335268
