pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
1896	118	26	3	49.076923	388.038462	585.192308	7.065248	10.896678
1897	120	21	8	49.476190	432.380952	367.809524	12.057863	18.359774
1898	214	27	3	63.740741	342.777778	627.814815	12.422762	14.515230
1899	276	20	8	70.800000	563.100000	482.300000	12.028067	15.645141
1900	296	22	2	73.181818	241.318182	536.409091	10.496328	13.792207
1901	368	21	2	80.333333	141.857143	470.047619	35.011046	36.525125
1902	376	23	2	81.043478	205.608696	620.478261	11.103575	11.445229
1903	385	21	4	81.571429	101.000000	422.380952	34.713519	36.414416
1904	423	26	5	84.615385	470.000000	337.307692	18.501658	21.026853
1905	501	20	4	94.700000	118.500000	332.350000	7.608809	15.631311
1906	506	26	5	95.923077	509.807692	255.115385	11.321734	18.826692
1907	513	20	6	95.500000	454.650000	260.250000	16.011236	20.570644
1908	561	28	2	100.678571	284.535714	606.607143	25.286510	27.016506
1909	570	28	6	100.964286	455.892857	171.892857	10.345539	12.438141
1910	598	22	7	103.409091	397.863636	177.636364	15.706164	20.916448
1911	633	20	7	105.600000	394.650000	148.800000	9.482004	14.469618
1912	635	22	6	105.454545	526.863636	202.136364	9.955783	13.122486
1913	659	21	2	109.095238	285.523810	644.380952	25.722804	28.462274
1914	697	21	3	110.095238	401.952381	670.904762	4.696030	10.131108
1915	702	25	5	111.480000	584.640000	376.840000	16.140275	18.350715
1916	716	24	5	111.916667	630.166667	310.041667	5.908360	10.330228
1917	796	24	7	120.916667	390.750000	154.416667	7.358012	9.556201
1918	845	28	4	124.428571	231.892857	188.714286	12.432641	16.495378
1919	852	26	4	125.461538	293.307692	467.769231	15.776935	37.813236
1920	869	20	4	126.250000	289.000000	469.000000	11.530994	34.461632
1921	872	28	5	126.035714	509.214286	390.357143	48.772138	50.919506
1922	886	21	5	126.904762	560.714286	384.380952	17.908887	22.703680
1923	895	20	7	128.700000	367.200000	131.700000	8.159664	11.166085
1924	896	24	5	128.583333	463.833333	292.166667	52.758884	55.912894
1925	903	26	10	128.846154	96.769231	499.461538	22.451432	27.196940
1926	920	22	4	130.318182	260.681818	405.954545	37.700204	45.292405
1927	940	28	4	133.035714	205.821429	355.750000	12.482888	18.911590
1928	972	20	6	135.500000	422.400000	192.200000	8.260678	13.278763
1929	983	20	4	135.000000	283.850000	141.100000	13.733142	15.572526
1930	985	22	4	135.409091	310.136364	148.681818	22.815638	29.150475
1931	1013	23	8	138.478261	578.173913	527.347826	7.950328	11.154380
1932	1034	27	8	141.296296	514.666667	567.814815	7.647270	12.659972
1933	1054	27	6	143.629630	419.814815	204.962963	11.169936	22.262645
1934	1065	20	4	143.950000	186.150000	284.400000	17.126089	21.104227
1935	1079	21	6	145.142857	427.571429	186.857143	8.799368	10.148747
1936	1108	24	5	146.541667	444.083333	370.000000	26.267963	33.261324
1937	1109	23	6	147.217391	513.913043	136.739130	5.376798	10.340495
1938	1124	21	10	148.571429	92.666667	483.523810	4.449660	7.256494
1939	1138	20	10	149.850000	88.250000	495.850000	7.231497	9.571339
1940	1143	23	4	151.913043	342.913043	237.000000	31.078159	34.980392
1941	1267	24	10	159.791667	91.916667	482.291667	4.594023	5.497947
1942	1268	24	2	160.166667	108.500000	640.375000	9.837028	14.607870
1943	1273	27	2	159.592593	311.037037	665.111111	11.706612	14.159321
1944	1293	25	7	160.760000	314.680000	92.920000	9.560099	12.687723
1945	1299	23	6	160.478261	573.173913	228.782609	5.576118	10.178689
1946	1320	22	4	163.545455	280.272727	499.636364	9.516297	22.749791
1947	1336	24	4	165.666667	152.708333	243.125000	28.767421	32.109379
1948	1414	26	7	172.115385	352.000000	68.923077	10.270779	13.491837
1949	1462	24	4	176.583333	142.000000	243.333333	39.269859	41.297253
1950	1465	23	7	176.478261	287.434783	119.043478	9.581072	13.987149
1951	1540	24	7	182.958333	373.875000	62.041667	8.715171	11.912664
1952	1545	21	3	183.619048	515.857143	576.952381	25.202644	26.271811
1953	1570	24	6	184.916667	516.666667	106.208333	10.675817	13.293357
1954	1591	21	7	186.904762	343.238095	68.428571	6.313236	11.279835
1955	1611	24	7	189.041667	286.333333	101.500000	13.005423	14.228900
1956	1631	25	10	190.000000	78.280000	523.920000	4.074170	7.458613
1957	1650	25	4	192.680000	190.160000	139.920000	16.629692	18.854057
1958	1662	20	9	193.350000	500.650000	567.900000	14.103344	19.439096
1959	1666	28	10	193.678571	88.857143	485.535714	5.490181	9.315518
1960	1778	24	4	204.333333	272.166667	245.958333	45.216365	52.100139
1961	1779	21	7	205.666667	322.571429	64.428571	12.242053	14.405603
1962	1804	27	4	208.444444	280.333333	500.444444	7.243035	33.148145
1963	1849	22	2	210.863636	73.136364	582.000000	11.413059	22.848485
1964	1861	20	8	210.350000	569.250000	531.250000	7.410447	13.010208
1965	1866	24	7	212.500000	323.250000	53.250000	13.780650	15.587510
1966	1884	21	5	213.047619	582.714286	384.904762	11.382147	17.111293
1967	1885	23	10	213.608696	78.826087	534.869565	5.373624	10.318873
1968	1899	27	7	214.148148	324.037037	60.555556	10.574376	14.239118
1969	1901	21	7	215.428571	349.714286	49.619048	18.972192	19.703334
1970	1951	22	7	217.636364	438.863636	84.590909	17.740354	20.051664
1971	2007	25	8	222.280000	557.280000	533.920000	13.084769	19.370969
1972	2022	20	10	224.000000	101.700000	473.250000	4.988701	10.758329
1973	2052	20	7	226.450000	423.400000	68.900000	8.499997	11.250244
1974	2053	21	7	227.190476	442.095238	87.714286	13.348720	20.547838
1975	2065	22	5	228.954545	582.681818	396.772727	9.864116	15.207933
1976	2080	20	10	229.850000	85.250000	561.000000	34.765131	37.012194
1977	2081	23	10	230.391304	91.217391	500.565217	7.776615	9.130425
1978	2100	28	3	231.607143	306.428571	639.821429	10.626389	15.461183
1979	2137	22	5	233.227273	573.318182	398.045455	11.497597	15.134121
1980	2164	22	3	236.818182	278.181818	611.227273	13.131911	16.324796
1981	2165	24	7	237.041667	350.875000	51.958333	12.629962	13.501683
1982	2212	26	9	240.538462	489.423077	541.730769	13.531926	16.688694
1983	2227	25	5	241.040000	620.640000	306.720000	6.338861	11.639715
1984	2267	22	5	244.090909	568.000000	398.318182	7.247568	14.345922
1985	2268	22	5	243.363636	574.090909	397.863636	11.163133	14.497055
1986	2313	20	4	247.600000	141.650000	250.200000	20.902349	29.047987
1987	2328	23	6	248.695652	495.608696	129.000000	8.610572	9.756185
1988	2373	24	5	252.250000	591.416667	365.958333	10.845308	14.659938
1989	2384	23	6	253.434783	544.652174	176.652174	8.394314	9.808443
1990	2391	28	5	253.857143	598.892857	345.000000	9.148793	11.972752
1991	2392	20	4	254.000000	178.550000	171.550000	8.123877	15.171857
1992	2398	23	2	254.652174	261.913043	608.347826	14.722584	18.970418
1993	2400	23	6	256.043478	540.304348	257.086957	9.979808	17.869988
1994	2435	21	5	256.952381	496.428571	378.809524	8.484260	20.009569
1995	2436	21	5	256.904762	516.000000	378.952381	10.555357	12.724035
1996	2442	22	4	258.045455	229.454545	412.363636	10.817628	20.697076
1997	2446	25	3	259.320000	341.600000	633.120000	7.672887	13.487273
1998	2454	28	5	257.000000	520.428571	394.571429	17.043070	23.742797
1999	2455	20	6	258.700000	522.650000	140.900000	12.379173	14.416473
2000	2489	20	7	260.400000	406.750000	84.150000	6.237122	10.579679
2001	2508	24	6	262.041667	531.958333	197.000000	9.293123	12.143501
