pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
1238	67	22	7	31.954545	97.090909	154.409091	6.981196	8.285759
1239	92	24	6	34.375000	114.291667	84.833333	7.487932	9.430659
1240	96	22	5	35.818182	244.681818	80.409091	6.043940	9.020348
1241	107	21	6	36.857143	103.857143	97.190476	8.593763	9.130029
1242	153	29	5	46.758621	264.517241	98.172414	6.718648	8.871963
1243	308	24	6	89.166667	135.625000	62.208333	6.268158	7.989820
1244	317	27	9	92.111111	193.037037	151.962963	17.398909	28.392637
1245	319	25	9	90.960000	198.560000	161.680000	9.147124	21.627867
1246	334	28	9	98.285714	148.142857	188.928571	46.194860	48.103313
1247	374	27	9	105.666667	215.333333	147.296296	10.390589	18.085324
1248	453	22	9	120.045455	235.954545	173.409091	8.167472	15.127138
1249	477	26	6	124.961538	182.538462	63.307692	18.919246	19.939397
1250	486	28	3	125.821429	343.928571	148.928571	9.548659	10.140255
1251	592	28	7	144.250000	128.357143	104.392857	22.148266	26.171831
1252	598	28	12	144.285714	138.892857	284.785714	7.355360	8.738483
1253	624	24	9	149.041667	136.958333	162.916667	9.403430	24.151794
1254	630	22	12	149.863636	112.590909	278.409091	6.823146	7.799146
1255	653	25	12	154.120000	131.800000	286.160000	9.012025	10.423989
1256	669	25	9	158.800000	144.120000	180.440000	13.613272	19.501676
1257	704	29	10	163.689655	71.655172	239.137931	9.393489	12.144087
1258	760	24	9	176.541667	222.375000	265.500000	8.585174	12.985591
1259	761	21	9	176.904762	242.428571	159.047619	6.695643	15.645056
1260	775	27	9	180.148148	157.259259	158.555556	15.362519	23.228100
1261	789	30	9	181.866667	236.533333	249.233333	8.549477	11.798810
1262	801	25	11	185.000000	135.000000	382.600000	6.768737	9.070751
1263	809	20	9	186.950000	233.200000	163.300000	10.295937	15.982726
1264	821	20	11	190.750000	105.450000	377.400000	11.795870	13.389618
1265	823	21	11	189.904762	128.619048	383.904762	7.059880	10.892951
1266	824	25	11	190.160000	143.280000	384.120000	7.349916	8.575846
1267	825	29	11	190.517241	158.655172	381.206897	8.452852	9.866960
1268	838	23	11	193.130435	117.130435	383.347826	11.601368	12.930985
1269	855	20	12	194.100000	128.450000	288.400000	5.268303	7.786820
1270	896	25	11	202.440000	96.360000	377.800000	8.020332	12.619184
1271	906	20	9	203.300000	210.050000	270.250000	8.821908	10.920487
1272	913	21	12	206.476190	114.142857	251.476190	7.797075	9.570428
1273	929	22	11	207.863636	116.136364	387.181818	10.174421	13.737453
1274	938	23	9	210.086957	234.173913	235.434783	10.327377	18.089702
1275	972	23	11	215.739130	151.695652	388.521739	9.890779	10.944662
1276	1014	22	11	221.863636	128.181818	391.909091	12.420554	18.452614
1277	1027	26	9	224.230769	201.923077	238.807692	8.141578	12.550973
1278	1061	30	11	232.666667	130.200000	392.666667	8.261062	12.043159
1279	1083	20	11	238.350000	120.050000	391.100000	6.715031	12.329324
1280	1128	21	2	248.380952	309.380952	292.428571	11.888560	16.983730
1281	1160	20	8	257.350000	98.800000	382.150000	12.125464	12.893984
1282	1161	27	11	257.518519	180.555556	376.037037	8.551472	9.515937
1283	1207	30	11	269.800000	158.633333	384.566667	8.299307	13.738027
1284	1214	26	2	269.730769	338.423077	195.615385	7.389167	9.004118
1285	1267	21	11	280.095238	131.809524	382.809524	8.775129	13.976861
1286	1268	28	11	280.642857	156.321429	381.178571	16.359831	20.269297
1287	1282	28	8	283.285714	116.321429	377.285714	11.973230	16.104031
1288	1296	24	11	284.916667	141.958333	380.541667	15.166763	18.817504
1289	1297	26	11	285.346154	162.576923	377.769231	16.039195	20.467592
1290	1299	20	11	285.050000	186.550000	368.900000	6.379983	9.524310
1291	1303	25	2	287.200000	272.680000	187.560000	7.247175	8.071441
1292	1313	23	11	288.304348	199.043478	361.478261	13.772711	20.016577
1293	1315	24	4	287.958333	300.458333	268.583333	8.649414	10.383930
1294	1326	22	8	292.136364	93.500000	266.318182	7.142859	9.149197
1295	1327	25	8	291.360000	101.720000	361.160000	8.334655	10.761364
1296	1347	27	8	295.703704	115.407407	365.851852	9.442810	11.706022
1297	1362	28	8	298.214286	95.964286	342.285714	8.971572	11.041420
1298	1369	28	4	299.321429	197.964286	219.464286	7.641261	10.923619
1299	1406	28	8	306.285714	173.107143	357.214286	10.486939	16.310989
1300	1418	25	8	308.240000	131.920000	301.320000	11.792436	13.151179
1301	1440	28	8	311.178571	122.035714	326.392857	15.521471	17.304165
1302	1452	26	8	313.615385	153.692308	345.000000	9.619083	15.039331
1303	1465	23	8	315.652174	158.347826	338.391304	16.789828	18.730009
