pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
4632	30	22	2	19.363636	432.681818	396.772727	23.604370	26.906152
4633	49	27	2	22.222222	520.444444	353.000000	13.153835	25.011372
4634	50	23	2	23.739130	414.434783	397.913043	18.823341	23.676345
4635	220	29	7	47.379310	439.482759	452.310345	24.670638	29.332556
4636	237	20	6	48.700000	401.200000	160.700000	11.788978	13.933966
4637	341	27	2	59.259259	404.111111	263.444444	40.553803	44.038958
4638	367	30	6	62.100000	311.133333	182.466667	31.621257	34.168553
4639	406	26	4	64.307692	256.038462	526.730769	12.452251	19.796891
4640	492	20	4	72.150000	368.400000	711.300000	6.524599	9.279533
4641	530	21	7	75.619048	383.476190	557.714286	25.386453	26.060308
4642	539	30	7	75.133333	495.566667	527.100000	8.506763	11.794554
4643	556	20	3	76.650000	219.350000	555.750000	10.291257	13.349190
4644	578	31	9	77.741935	341.096774	312.129032	39.198145	41.932910
4645	598	24	3	80.541667	228.708333	561.625000	8.805056	10.914867
4646	671	34	14	86.205882	338.500000	359.735294	12.313009	24.859907
4647	710	23	4	88.304348	391.217391	728.565217	9.731214	11.084378
4648	713	38	2	89.526316	601.631579	445.210526	8.158096	10.169242
4649	773	20	7	93.600000	520.850000	518.800000	9.360949	12.642254
4650	789	20	8	95.450000	221.100000	290.050000	22.117949	26.221158
4651	843	21	11	99.714286	336.714286	499.857143	14.352933	19.448345
4652	904	22	3	105.227273	245.727273	605.045455	15.236885	17.375963
4653	940	36	12	107.250000	244.583333	447.611111	47.438595	48.229969
4654	964	35	7	108.800000	412.685714	581.828571	7.540079	9.596085
4655	1012	25	17	110.680000	406.880000	383.080000	11.305255	12.785525
4656	1022	40	3	112.150000	231.375000	667.825000	9.776598	14.132709
4657	1038	27	3	113.703704	276.740741	639.925926	35.410467	37.651977
4658	1071	28	17	114.857143	458.892857	354.392857	8.674606	12.043117
4659	1097	33	7	117.424242	431.030303	589.000000	9.636055	10.809530
4660	1174	34	9	123.382353	216.500000	219.588235	7.915863	12.790992
4661	1175	30	3	122.833333	284.833333	630.800000	44.548335	46.594426
4662	1221	34	12	126.794118	184.117647	481.588235	12.399434	12.399434
4663	1260	22	7	127.409091	384.863636	544.045455	17.760439	19.686976
4664	1278	29	8	128.758621	177.620690	330.931034	11.301333	16.332080
4665	1279	21	8	128.904762	206.047619	271.285714	8.532074	20.684107
4666	1320	41	8	131.902439	202.439024	252.317073	21.656072	22.319612
4667	1321	22	8	131.818182	202.000000	354.863636	10.511276	13.429537
4668	1353	25	15	134.200000	326.960000	277.920000	22.122163	30.469936
4669	1377	22	6	134.409091	318.954545	149.727273	12.397304	24.713869
4670	1442	39	6	138.538462	321.076923	136.743590	24.148770	25.173261
4671	1574	24	13	146.583333	240.458333	398.916667	20.647775	28.302192
4672	1575	35	12	147.657143	245.457143	488.628571	16.285133	18.895858
4673	1584	31	7	146.451613	446.709677	626.096774	15.366398	17.398890
4674	1595	40	14	149.625000	349.375000	408.300000	11.284149	20.616042
4675	1624	35	10	150.342857	123.257143	371.942857	13.467485	16.648745
4676	1655	40	16	151.250000	470.125000	315.950000	12.881156	14.860502
4677	1663	33	8	152.818182	138.757576	320.272727	14.563717	17.041185
4678	1730	34	2	155.147059	624.029412	439.588235	9.604629	11.986682
4679	1955	21	14	168.761905	329.619048	340.428571	15.321256	19.285895
4680	1968	33	10	169.606061	137.727273	350.090909	11.857351	21.205550
4681	1975	33	4	169.000000	251.969697	705.181818	36.593377	36.620045
4682	2065	32	9	174.218750	172.562500	165.750000	21.001817	23.385679
4683	2119	40	12	176.800000	212.325000	482.125000	12.138762	14.423219
4684	2225	20	15	180.500000	365.250000	231.850000	8.873656	10.330851
4685	2226	32	15	180.468750	392.218750	229.437500	14.613158	18.399627
