pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
1787	277	20	2	82.350000	305.250000	319.250000	15.616883	22.379090
1788	560	20	4	106.150000	154.350000	379.800000	8.714641	10.407709
1789	729	20	3	118.550000	73.650000	165.300000	6.473870	7.280709
1790	983	20	9	140.950000	200.700000	240.650000	15.526031	17.789955
1791	1083	20	6	148.500000	365.500000	74.000000	12.067055	14.094632
1792	1121	20	9	153.150000	228.700000	202.700000	11.028527	13.418828
1793	1183	20	9	158.350000	333.700000	333.150000	7.736135	25.609402
1794	1312	20	9	167.600000	228.550000	210.750000	9.895330	16.208226
1795	1326	20	4	168.900000	135.050000	269.800000	13.494538	16.335531
1796	1454	20	8	179.600000	274.050000	133.900000	7.652204	11.472157
1797	1520	20	8	184.350000	299.900000	111.200000	13.840933	15.396636
1798	1766	20	8	205.200000	213.250000	103.650000	36.286962	36.699625
1799	2013	20	5	224.850000	538.450000	300.550000	12.707626	15.001713
1800	2169	20	2	235.800000	401.850000	431.400000	10.342183	12.339990
1801	2548	20	3	267.300000	221.000000	132.550000	8.190578	13.716523
