pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
4008	54	26	11	52.230769	501.730769	579.346154	7.339709	8.741018
4009	92	29	11	58.689655	454.586207	600.482759	15.911970	17.375993
4010	115	22	5	62.500000	309.636364	309.909091	19.425852	25.777973
4011	177	22	6	71.318182	454.863636	301.909091	10.951929	21.861599
4012	193	25	3	73.520000	507.680000	443.760000	21.346274	27.099586
4013	201	36	6	76.277778	476.138889	272.305556	12.317510	21.636284
4014	207	37	3	74.945946	576.027027	485.378378	13.741005	19.655497
4015	256	29	3	79.724138	633.000000	453.689655	13.289507	14.052546
4016	260	30	5	80.733333	383.166667	303.100000	49.579598	54.781089
4017	270	31	11	81.645161	497.000000	638.032258	9.169700	10.902836
4018	292	40	4	85.500000	198.775000	368.100000	24.265060	27.310484
4019	311	33	11	86.333333	563.515152	640.515152	12.196659	13.793251
4020	393	43	11	95.511628	512.348837	661.837209	11.401668	11.916152
4021	410	20	4	97.200000	287.450000	330.650000	24.504711	27.706382
4022	411	33	4	97.545455	291.575758	338.121212	25.283933	31.046897
4023	413	28	11	97.607143	443.285714	615.678571	21.305080	22.613449
4024	517	49	11	108.306122	534.632653	687.816327	8.421177	11.231560
4025	565	38	11	112.473684	568.500000	554.789474	15.334599	20.678106
4026	573	32	10	112.718750	370.187500	528.656250	45.038713	47.267753
4027	616	26	4	116.923077	236.269231	271.769231	30.526363	31.277438
4028	703	25	4	123.840000	291.360000	363.080000	22.205837	32.806573
4029	715	34	4	125.676471	235.235294	289.529412	15.801957	20.555375
4030	776	31	7	130.645161	329.322581	123.838710	18.535581	23.194853
4031	818	26	4	134.576923	188.346154	247.653846	23.775599	25.308580
4032	833	29	5	137.448276	179.482759	236.413793	23.891889	27.068583
4033	858	24	2	136.791667	650.625000	570.125000	10.656042	13.857143
4034	879	42	8	140.595238	139.309524	403.523810	15.891793	25.877395
4035	888	49	8	140.571429	151.061224	463.265306	20.611109	22.740423
4036	916	29	8	142.275862	140.275862	445.137931	18.948106	24.353748
4037	937	24	3	143.583333	640.250000	323.000000	15.558988	18.579231
4038	957	40	4	145.550000	154.175000	358.175000	14.500605	16.222954
4039	965	39	14	145.205128	385.512821	283.846154	60.293240	61.611024
4040	1056	40	9	151.650000	325.275000	488.225000	8.382339	25.399481
4041	1108	45	8	155.977778	175.555556	410.400000	14.693170	18.447514
4042	1120	37	9	156.054054	278.810811	493.918919	9.146727	17.892202
4043	1128	21	6	155.761905	571.809524	157.095238	8.456205	9.960442
4044	1143	22	13	156.409091	455.454545	412.363636	18.747477	23.227796
4045	1162	20	8	159.650000	115.350000	435.750000	22.542692	24.567135
4046	1171	23	13	162.217391	405.956522	476.652174	24.098994	27.191970
4047	1284	23	5	167.652174	320.956522	124.217391	11.075652	16.082532
4048	1352	50	4	170.560000	144.680000	379.660000	18.613510	20.366126
4049	1380	26	14	173.192308	457.038462	343.346154	24.686378	25.374557
4050	1388	37	9	175.513514	249.702703	512.756757	14.667086	18.551046
4051	1423	36	2	176.416667	673.638889	661.666667	8.145718	13.622428
4052	1432	23	2	176.608696	528.956522	709.782609	32.644883	39.044203
4053	1439	45	8	178.511111	116.600000	476.355556	16.346077	18.874283
4054	1456	29	7	179.206897	495.206897	265.275862	57.704348	65.641415
4055	1507	37	15	184.000000	303.513514	302.351351	20.130688	23.517190
4056	1526	24	10	184.416667	485.208333	692.000000	49.103602	56.401037
4057	1535	28	15	186.357143	222.607143	261.142857	45.510074	48.074227
4058	1543	48	2	187.541667	710.666667	539.541667	10.049104	14.535356
4059	1552	28	16	188.964286	263.821429	370.714286	28.460808	31.085014
4060	1566	30	9	187.633333	351.100000	572.133333	16.608927	22.410998
4061	1599	38	11	189.947368	502.421053	700.184211	52.480324	56.790721
4062	1611	22	4	191.000000	171.500000	254.454545	25.394858	39.137987
4063	1622	28	2	190.071429	544.714286	715.321429	36.171571	40.675416
4064	1632	50	12	192.500000	295.320000	440.180000	14.542001	16.275780
4065	1647	27	9	193.481481	351.074074	572.333333	18.719525	22.726089
4066	1648	29	9	193.000000	362.793103	591.931034	23.580996	24.620879
4067	1707	28	9	197.500000	361.142857	588.071429	23.120002	26.036305
4068	1732	33	12	199.454545	389.424242	426.272727	15.307775	17.669096
4069	1766	23	9	201.000000	372.826087	603.652174	21.990325	24.031107
4070	1772	35	14	200.542857	502.542857	265.371429	57.032822	60.403741
4071	1788	44	12	203.272727	367.681818	364.818182	21.105893	26.292821
4072	1817	23	15	203.434783	380.217391	212.652174	68.327004	70.311106
4073	1822	32	10	204.062500	487.250000	495.687500	16.940094	20.654105
4074	1897	42	14	208.357143	516.785714	234.047619	43.001308	44.351657
4075	1911	33	12	209.939394	346.727273	390.848485	16.556414	19.765241
4076	1982	48	3	215.187500	753.958333	364.375000	7.121788	9.108174
4077	1991	27	15	215.481481	281.629630	296.481481	16.584259	17.005881
4078	2022	25	9	217.800000	386.280000	613.360000	16.355857	22.106799
4079	2120	46	8	224.130435	171.369565	385.369565	63.686156	65.961126
4080	2138	51	9	225.274510	385.843137	610.470588	18.506755	20.843475
4081	2141	27	14	224.407407	515.148148	252.629630	28.126655	37.317340
4082	2148	43	9	226.162791	279.000000	645.093023	15.217540	16.736034
4083	2198	25	2	228.000000	559.560000	724.880000	54.927922	60.043970
4084	2220	20	15	230.900000	204.400000	245.000000	7.678567	19.998450
4085	2238	29	15	231.310345	377.551724	187.827586	81.670291	82.818021
4086	2260	27	7	232.962963	515.518519	145.444444	36.379427	40.904176
4087	2263	24	3	232.583333	761.125000	430.375000	12.605725	14.628914
4088	2296	36	3	235.055556	677.777778	248.583333	11.883390	15.602421
4089	2337	31	4	238.870968	155.774194	391.419355	61.854084	67.562729
4090	2342	21	10	238.238095	428.523810	631.142857	21.130351	24.089006
4091	2387	43	14	241.627907	504.093023	274.139535	29.281659	39.924137
