pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
4160	69	20	3	17.900000	509.350000	199.050000	10.222631	12.160303
4161	168	22	4	31.545455	365.090909	139.545455	15.516745	17.750246
4162	222	34	4	35.529412	358.823529	142.500000	10.497271	13.434733
4163	235	28	4	38.250000	364.214286	127.535714	7.762669	14.214287
4164	434	26	5	61.653846	238.730769	239.461538	12.699691	17.053433
4165	462	34	5	63.823529	256.147059	247.294118	16.349743	16.611166
4166	665	32	2	81.250000	590.843750	167.093750	13.677841	16.312235
4167	691	23	5	84.695652	180.086957	194.478261	17.237308	19.879727
4168	813	23	5	94.652174	306.652174	332.086957	15.000428	20.654364
4169	1054	24	4	120.083333	380.708333	68.166667	17.982948	19.523804
4170	1082	21	5	122.380952	126.047619	267.714286	8.709928	10.331175
4171	1261	33	8	139.484848	183.121212	371.757576	7.801910	14.154360
4172	1266	25	8	140.320000	176.760000	361.160000	8.816988	13.892411
4173	1301	28	8	144.464286	203.821429	351.500000	18.557377	21.777281
4174	1738	21	14	194.333333	405.000000	358.476190	5.703498	18.071440
4175	1762	31	4	194.548387	402.806452	65.193548	18.147589	21.410370
4176	1826	29	14	203.137931	481.241379	300.034483	7.410371	9.374853
4177	1912	23	2	208.565217	667.478261	368.695652	14.107440	21.843357
4178	2033	33	12	219.151515	341.545455	395.545455	13.617477	13.617477
4179	2056	24	15	220.541667	289.916667	311.416667	10.814476	13.234400
4180	2089	29	4	223.862069	389.241379	70.724138	10.607513	12.757562
4181	2162	27	2	228.629630	717.925926	263.148148	13.003558	14.835309
4182	2267	32	5	238.218750	134.625000	212.875000	14.283136	16.319190
4183	2321	33	15	242.333333	347.696970	274.757576	9.884968	19.952183
4184	2337	28	16	243.642857	213.214286	264.500000	46.341324	56.260511
4185	2349	21	15	244.000000	328.476190	251.190476	11.243220	14.676580
4186	2363	23	15	245.217391	228.086957	273.521739	31.021250	36.375175
4187	2478	28	12	254.607143	377.428571	370.785714	7.502300	9.802557
4188	2738	28	11	274.357143	535.535714	442.178571	21.478924	24.278759
4189	2859	20	6	284.000000	222.350000	544.350000	14.878057	18.600113
4190	2876	31	12	285.451613	348.096774	338.935484	25.625970	31.762968
4191	2883	25	8	285.040000	149.040000	229.480000	4.397601	8.633257
4192	2960	26	17	291.807692	357.115385	470.076923	16.632993	21.701924
4193	3063	32	18	300.968750	265.531250	446.000000	8.260117	11.218989
4194	3064	27	17	301.518519	344.000000	480.518519	16.854896	20.080133
4195	3123	25	7	306.520000	89.160000	442.920000	10.833060	14.791497
4196	3182	29	5	310.275862	283.689655	132.137931	24.210987	28.108051
4197	3190	31	11	310.161290	544.451613	450.774194	10.653440	12.985240
4198	3191	23	13	310.130435	588.739130	323.565217	26.710084	31.438448
4199	3241	34	12	313.470588	397.294118	312.235294	13.361603	15.967484
4200	3262	23	12	315.739130	389.478261	269.217391	39.915524	42.543553
4201	3277	25	6	316.440000	289.400000	577.600000	14.042884	18.977667
4202	3336	25	8	322.040000	76.240000	322.320000	13.181900	13.744487
4203	3585	26	8	343.038462	112.884615	285.923077	11.774755	13.210057
4204	3697	32	16	352.125000	255.687500	304.281250	17.853393	21.144188
4205	3758	23	12	357.434783	431.826087	400.521739	5.745532	8.152432
4206	3847	27	12	364.370370	336.962963	318.518519	13.706464	15.486034
4207	3869	20	4	366.000000	312.200000	179.500000	45.175725	66.132141
4208	3939	27	14	372.777778	430.592593	155.666667	6.718778	30.575851
4209	4176	33	16	396.969697	286.606061	231.515152	11.559595	36.456508
4210	4296	31	2	408.935484	477.064516	196.709677	6.214249	12.246220
