pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
4444	70	23	3	27.086957	424.478261	406.826087	13.934095	17.148232
4445	178	25	5	41.000000	284.760000	451.560000	22.754793	24.462648
4446	396	26	2	69.961538	223.423077	324.576923	27.012383	40.662048
4447	690	28	10	92.607143	497.285714	306.607143	32.111735	33.933398
4448	989	20	2	112.100000	197.000000	461.300000	19.631034	27.354323
4449	1118	25	5	120.280000	158.920000	489.600000	15.560104	18.932414
4450	1121	28	8	119.928571	435.964286	141.964286	10.890372	12.557550
4451	1191	27	6	124.481481	187.370370	155.370370	5.031865	11.126268
4452	1253	24	12	126.875000	440.666667	470.083333	15.627050	23.546694
4453	1268	27	6	129.074074	188.370370	156.407407	9.177666	11.817995
4454	1409	23	5	135.956522	232.652174	594.260870	11.785087	15.150438
4455	1525	23	5	142.260870	227.869565	605.826087	9.802411	12.494799
4456	1547	27	18	142.925926	292.111111	231.629630	11.036002	14.364931
4457	1616	26	17	146.076923	226.461538	280.653846	9.047995	11.953977
4458	1635	28	8	147.178571	437.892857	109.535714	10.596739	11.491665
4459	1667	27	13	149.592593	307.185185	452.925926	18.026488	23.397156
4460	1843	25	3	157.880000	432.800000	621.960000	10.413481	14.353631
4461	1975	20	10	164.600000	503.800000	391.700000	11.370295	13.976706
4462	2255	22	15	179.136364	403.045455	285.090909	7.823809	12.279444
4463	2409	22	15	187.727273	406.818182	321.909091	17.175582	21.770770
4464	2454	21	12	189.761905	455.190476	522.904762	7.708065	11.121477
4465	2528	20	5	194.700000	88.600000	501.200000	9.507815	11.713589
4466	2532	26	15	194.538462	280.346154	321.038462	23.190216	39.931268
4467	2582	22	6	197.181818	265.227273	64.909091	9.736793	11.012776
4468	2588	23	12	197.304348	450.652174	511.347826	12.378859	12.833467
4469	2604	22	5	197.954545	226.727273	610.545455	10.829467	11.369101
4470	2647	23	6	202.391304	347.782609	78.347826	17.256945	17.341273
4471	2786	26	15	207.384615	412.538462	304.269231	14.238810	17.215865
4472	2898	22	16	212.772727	182.318182	377.818182	11.564132	13.512613
4473	3086	27	8	221.148148	477.259259	139.777778	10.547456	13.172527
4474	3251	27	17	228.888889	221.851852	252.666667	6.665013	8.713108
4475	3457	24	12	238.791667	496.750000	405.708333	20.413595	23.424928
4476	3572	20	10	242.950000	541.050000	308.350000	26.705825	29.459628
4477	3635	22	9	246.181818	454.454545	589.181818	12.734931	17.386437
4478	3712	20	6	250.150000	205.900000	118.950000	8.607710	12.419523
4479	3748	22	17	252.000000	211.772727	290.318182	9.516072	12.160959
4480	3891	21	10	258.476190	501.428571	309.523810	9.460384	12.436390
4481	3922	28	6	261.321429	196.678571	110.750000	11.367648	12.060368
4482	3958	27	19	262.703704	382.481481	213.518519	21.125331	39.869540
4483	4424	23	12	290.391304	453.086957	339.739130	15.100843	21.957419
4484	4499	24	4	295.916667	640.791667	413.041667	9.483150	11.616688
4485	4595	25	8	303.320000	323.000000	146.320000	10.070988	14.633492
4486	4656	21	12	307.380952	399.333333	448.904762	33.234215	41.248965
4487	4665	24	9	308.291667	297.250000	562.125000	21.001145	23.341501
4488	4849	24	8	325.916667	383.500000	225.666667	11.216028	27.405095
4489	5051	24	2	347.333333	163.458333	365.875000	12.659623	17.022389
4490	5098	26	3	346.615385	500.730769	454.346154	26.327627	30.837460
4491	5111	26	2	349.730769	160.576923	362.346154	14.482858	16.535421
4492	5119	28	4	348.428571	461.357143	349.250000	7.317465	28.916811
4493	5168	28	2	353.892857	226.642857	473.321429	15.630732	19.960024
4494	5197	27	15	357.074074	277.851852	384.740741	37.257220	44.610325
4495	5227	26	15	359.923077	278.230769	391.730769	42.021890	42.715261
4496	5241	27	7	358.666667	208.333333	275.666667	7.869117	17.873243
4497	5253	22	15	358.363636	313.681818	317.909091	30.475416	34.379390
4498	5257	21	4	358.857143	439.238095	382.761905	38.804718	47.418897
