pore_id	source_component	voxels	assigned_label	centroid_z	centroid_y	centroid_x	nearest_dist	tie_mean_dist
3345	54	27	4	20.925926	355.851852	203.592593	10.903027	13.026394
3346	79	20	4	23.500000	290.650000	220.950000	13.790315	17.141721
3347	93	30	6	26.533333	252.000000	155.666667	10.657327	10.751220
3348	98	23	4	26.913043	287.347826	225.521739	14.188556	16.192768
3349	125	28	4	29.107143	410.250000	275.535714	10.058556	20.396607
3350	126	20	6	29.750000	255.600000	220.750000	25.608911	27.766123
3351	187	23	5	34.304348	359.347826	369.739130	10.182810	14.551284
3352	213	27	4	38.814815	314.666667	195.555556	8.286614	14.277755
3353	223	21	4	39.142857	309.571429	200.666667	11.621787	15.459482
3354	272	23	4	44.173913	267.521739	294.608696	9.443127	11.885286
3355	300	24	6	48.416667	250.916667	94.583333	13.501372	14.168044
3356	302	22	4	47.318182	351.681818	136.500000	10.239438	12.786844
3357	350	27	6	53.185185	204.074074	102.333333	9.629254	11.256909
3358	398	22	4	55.863636	278.863636	340.590909	12.994531	21.471766
3359	413	29	4	57.620690	459.379310	243.310345	10.197556	11.766652
3360	574	25	2	76.640000	309.440000	473.640000	22.781999	24.947840
3361	612	21	2	81.428571	294.285714	434.476190	10.352785	18.544529
3362	632	22	5	83.590909	388.772727	269.863636	27.553117	33.551570
3363	633	28	2	84.928571	469.071429	455.964286	9.804313	10.397409
3364	668	21	5	89.047619	409.047619	260.952381	13.617435	32.050986
3365	714	25	2	96.360000	359.120000	547.480000	9.879058	13.432750
3366	803	28	2	105.892857	501.000000	483.857143	8.007053	11.971328
3367	804	22	5	106.454545	517.681818	386.909091	7.776535	11.804107
3368	811	29	2	106.724138	355.689655	516.724138	11.543425	14.424045
3369	814	27	2	108.444444	429.259259	512.629630	10.293718	13.134889
3370	835	22	2	108.772727	369.818182	563.818182	11.334646	11.703797
3371	853	22	6	111.000000	376.681818	72.818182	10.495979	11.063044
3372	1033	29	2	125.379310	425.724138	561.034483	17.647557	23.393654
3373	1045	24	12	129.375000	162.666667	335.291667	12.774117	18.187490
3374	1107	24	3	134.125000	259.125000	522.125000	13.979806	14.666457
3375	1108	24	10	132.416667	311.375000	254.708333	11.342106	11.875762
3376	1131	26	2	133.692308	367.461538	470.076923	20.264991	31.943156
3377	1166	28	2	137.107143	454.571429	549.321429	10.009881	12.503040
3378	1167	20	2	137.350000	512.650000	512.900000	10.710031	13.715907
3379	1220	21	6	141.142857	379.238095	59.619048	11.109227	12.125544
3380	1236	22	11	141.000000	246.954545	344.727273	17.983827	20.248527
3381	1265	30	3	143.000000	199.800000	502.900000	12.506335	15.239272
3382	1271	25	10	144.120000	295.840000	218.360000	6.806224	9.030373
3383	1320	24	3	147.041667	195.541667	477.666667	18.491395	20.326581
3384	1380	24	11	150.083333	217.541667	407.666667	25.264385	32.612684
3385	1585	21	6	164.047619	405.000000	76.904762	7.405323	11.027964
3386	1587	23	9	164.782609	93.086957	344.913043	8.513686	10.206535
3387	1597	28	12	166.142857	193.678571	223.857143	5.946397	9.106527
3388	1598	22	3	165.772727	289.954545	582.272727	28.584845	32.189800
3389	1602	22	10	165.727273	381.136364	256.772727	6.911625	11.557114
3390	1670	23	3	169.869565	201.391304	521.565217	16.339283	21.217473
3391	1671	30	8	170.600000	213.733333	36.200000	8.462035	11.520821
3392	1683	29	13	170.551724	375.448276	417.689655	9.257119	10.260897
3393	1699	28	2	171.071429	391.464286	615.142857	11.298931	13.036713
3394	1734	20	6	174.600000	405.650000	96.050000	8.718470	10.830249
3395	1737	26	7	174.500000	68.538462	392.730769	11.884491	18.577535
3396	1834	20	7	179.750000	63.000000	394.200000	9.971298	15.501921
3397	1981	23	3	188.652174	115.043478	536.000000	6.906144	11.037264
3398	2004	28	2	189.857143	297.500000	637.571429	10.337224	15.209808
3399	2007	23	4	190.130435	464.608696	128.695652	15.061321	15.843707
3400	2066	22	11	193.863636	294.909091	385.636364	6.416025	11.914341
3401	2089	26	7	195.692308	49.307692	420.500000	6.810367	9.252960
3402	2096	21	15	195.380952	295.904762	510.333333	11.155321	13.642097
3403	2109	30	3	196.966667	189.833333	613.466667	9.477798	12.290648
3404	2251	30	4	206.233333	488.800000	152.966667	14.895407	17.806830
3405	2264	20	3	206.000000	210.600000	630.050000	7.925223	9.960621
3406	2300	22	11	210.000000	265.863636	416.227273	20.026240	25.302691
3407	2405	28	3	215.464286	129.321429	575.214286	9.700790	11.684815
3408	2445	23	8	218.956522	275.695652	31.782609	8.463312	11.221495
3409	2461	24	4	219.166667	502.916667	234.166667	22.094678	22.847006
